,country,year,co2,co2_growth_prct,share_global_co2,co2_per_gdp,CoalConsumption,GasConsumption,OilConsumption
0,United States,1965,3388.1929999999998,4.164,29.55,0.8140000000000001,11.6072788349331,14.973141965729301,23.6918195190066
1,United States,1966,3559.179,5.047,29.548000000000002,0.8029999999999999,12.171046241691199,16.137922044438,24.8759762687172
2,United States,1967,3693.298,3.7680000000000002,29.71,0.8140000000000001,11.941188080943999,17.0394782430826,25.837584361111894
3,United States,1968,3828.3059999999996,3.655,29.305,0.804,12.359075288836,18.240533990655198,27.630599380574107
4,United States,1969,4021.5029999999997,5.047,29.044,0.821,12.410055429376197,19.6347852356244,29.135606982979606
5,United States,1970,4325.501,7.559,29.136,0.8809999999999999,12.292773943720801,20.6951698588393,30.300760671280397
6,United States,1971,4351.309,0.597,28.237,0.858,11.625122836310101,21.335494333880803,31.341841853982896
7,United States,1972,4558.4529999999995,4.76,28.448,0.855,12.104730864333199,21.553072383042693,33.8632569437477
8,United States,1973,4762.452,4.475,28.191,0.8440000000000001,13.0013641196167,21.37665448932,35.74610166945
9,United States,1974,4592.958,-3.5589999999999997,27.139,0.8170000000000001,12.6920413676674,20.6360897907545,34.3161814356321
10,United States,1975,4400.795,-4.184,26.155,0.784,12.6919491557859,18.941517635876107,33.652605082926605
11,United States,1976,4607.168,4.689,25.881999999999998,0.7809999999999999,13.6153519211956,19.319004697812396,36.1238939630795
12,United States,1977,4735.366,2.783,25.798000000000002,0.767,13.954166438382002,18.9250239477321,38.130132259573706
13,United States,1978,4882.964,3.117,26.307,0.7490000000000001,13.7972779450081,18.9913851672669,37.6808279533744
14,United States,1979,4894.043,0.22699999999999998,24.976999999999997,0.726,15.0742230687677,19.623232057521502,36.8909515470189
15,United States,1980,4716.715999999999,-3.623,24.328000000000003,0.7,15.4583286543259,19.214585503561896,34.1800997354222
16,United States,1981,4530.37,-3.951,24.114,0.6559999999999999,15.9441619866546,18.751063490101306,31.8909829593424
17,United States,1982,4301.971,-5.042,23.099,0.635,15.3568675201693,17.4301555077828,30.194698859879107
18,United States,1983,4335.917,0.789,23.375,0.613,15.931047853417699,16.3520494279283,30.0112659725195
19,United States,1984,4468.262,3.052,23.252,0.589,17.1099366665155,17.465660141829602,31.088300884263703
20,United States,1985,4484.338,0.36,22.656999999999996,0.569,17.5186818681974,16.8103460662675,30.960317740845
21,United States,1986,4487.856,0.078,22.004,0.551,17.3001567481494,15.754334122033901,32.2348963815248
22,United States,1987,4680.834,4.3,22.383000000000003,0.555,18.049925542962,16.7498777556919,32.9020386697838
23,United States,1988,4885.590999999999,4.374,22.534000000000002,0.556,18.8897161871074,17.5176765054755,34.2677255098284
24,United States,1989,4948.021,1.278,22.334,0.544,19.113680805862,18.612792828819398,34.2518998481239
25,United States,1990,5121.179,3.5,23.087,0.5539999999999999,19.216790728552198,18.6141924659135,33.4972060415274
26,United States,1991,5071.564,-0.9690000000000001,22.611,0.5489999999999999,19.0354089553013,19.0223006248716,32.7871358303864
27,United States,1992,5174.670999999999,2.033,23.314,0.541,19.166511197850895,19.6686348035552,33.464045358538606
28,United States,1993,5281.387,2.062,23.84,0.537,19.880829535734698,20.157909569816802,33.7481070068077
29,United States,1994,5375.034000000001,1.7730000000000001,23.853,0.527,19.9553156876378,20.6318918290225,34.630713105793
30,United States,1995,5436.698,1.147,23.63,0.518,20.1349925433836,21.5273860987604,34.5497887234459
31,United States,1996,5625.0419999999995,3.464,23.913,0.516,21.0502826678258,21.920032730714997,35.8085618849185
32,United States,1997,5701.920999999999,1.367,23.842,0.5,21.494801068021804,22.051136186578894,36.285679331305104
33,United States,1998,5749.893,0.841,23.973000000000003,0.483,21.7056184775384,21.6784472021436,36.90216402091379
34,United States,1999,5829.52,1.385,24.36,0.466,21.672342015946803,21.753462622815103,37.931099980463294
35,United States,2000,5997.299,2.878,24.42,0.461,22.6315300075073,22.6220637298808,38.3536912121831
36,United States,2001,5899.855,-1.625,23.47,0.45,21.964737873818997,21.623688537325602,38.2903383849188
37,United States,2002,5942.420999999999,0.721,23.309,0.447,21.954435200665397,22.3240036991582,38.31074399238489
38,United States,2003,5991.191,0.821,22.3,0.43700000000000006,22.3723344361941,21.678842215054804,38.892838417818105
39,United States,2004,6105.444,1.9069999999999998,21.66,0.43,22.517935994809605,21.7665987012137,40.311992253803
40,United States,2005,6130.552,0.41100000000000003,20.956,0.41700000000000004,22.8490448060708,21.4269474192306,40.3693266260021
41,United States,2006,6050.385,-1.308,19.977,0.401,22.498857156062694,21.1167996136045,39.8527473230805
42,United States,2007,6127.888000000001,1.281,19.844,0.39799999999999996,22.8018593849157,22.46897913487789,39.6047138073267
43,United States,2008,5928.255999999999,-3.258,18.598,0.387,22.438996610411,22.6400823957542,36.963544659237996
44,United States,2009,5493.548000000001,-7.332999999999999,17.427,0.369,19.7365550263707,22.234612087438894,35.052058514272396
45,United States,2010,5700.108,3.76,17.238,0.373,20.8819498781129,23.3349642309571,35.610844706537705
46,United States,2011,5572.585,-2.237,16.219,0.36,19.7030570558028,23.6955891792456,34.889780955086195
47,United States,2012,5371.776999999999,-3.603,15.383,0.33799999999999997,17.418257115404902,24.7724200130911,34.1217204376625
48,United States,2013,5522.908,2.813,15.687000000000001,0.34299999999999997,18.080177053918604,25.452822156267,34.694429509015
49,United States,2014,5572.106,0.8909999999999999,15.693,0.33799999999999997,18.039081626155895,26.0013763961695,34.943550524551505
50,United States,2015,5422.965999999999,-2.677,15.292,0.321,15.584679980371199,26.7688617943648,35.6600354325791
51,United States,2016,5306.661999999999,-2.145,14.875,0.309,14.258668112612801,26.967561834661304,35.9179270477687
52,United States,2017,5270.749,-0.677,14.579,,13.8693335119907,26.639710613850603,36.2850986244344
53,United States,2018,5416.278,2.761,14.81,,13.282051073142199,29.5179104706945,37.107278461793896
